Tweets	Compound	Analysis
vaccinated... and it feels so good 🤪i got the michelle pfeiffer, er i mean… the pfizer.#vaccine #vaccinated… 	0.5777	Positive
pfizer covid-19 vaccine more durable then thought at refrigerator temperatures. 	0.0	Neutral
preliminary: a single dose of astrazeneca covid-19 vaccine is around 30% effective against new indian variant. poss… 	0.4767	Positive
good news !#covid19 #astrazeneca #pfizer	0.4926	Positive
#fotografiadestock #stockphotography #lab #covid19 #vaccine #vaccination #coronavirus en madrid, spain 	0.0	Neutral
#fotografiadestock #stockphotography #lab #covid19 #vaccine #vaccination #coronavirus #protectivegoogles en madrid,… 	0.0	Neutral
